Year,Name,College,POS,Height,Weight,HandSize,ArmLength,Wonderlic,FortyYard,BenchPress,VertLeap,BroadJump,Shuttle,ThreeCone,SixtyYdShuttle,Touches,RushAvg,RushTDPct,RecAvg,RecTDPct,Rookie AV
2003,Kerry Carter,Stanford,RB,73.9,238,9.25,32,,4.67,20,36,118,4.34,7.28,11.28,563,3.8,0.043,12.1,0.08,0
2003,Nick Maddox,Florida St.,RB,71,211,,,,4.65,18,33.5,115,4.5,7.33,,301,5.1,0.029,10.3,0.049,0
2003,Santonio Beard,Alabama,RB,71.6,222,9.25,31.25,,4.59,,31.5,119,,,,248,6,0.066,13.7,0,0
2003,Sultan McCullough,USC,RB,71.4,202,8.38,30.88,,4.49,27,,,,,,639,4.6,0.033,7.1,0.036,0
2003,Ahmaad Galloway,Alabama,RB,71.8,223,9,30.75,,4.65,22,,,,,,384,4.9,0.045,9.1,0,0
2004,Julius Jones,Notre Dame,RB,69.8,217,9.25,31.13,,4.46,,37.5,121,4.12,6.97,,662,4.8,0.041,8.9,0.036,31
2004,Kevin Jones,Virginia Tech,RB,72.1,227,8.63,30.88,,4.38,,38,120,,,,640,5.6,0.057,9.5,0,28
2004,Tatum Bell,Oklahoma St.,RB,71,212,8.38,31.88,,4.39,25,38.5,117,,,,670,5.4,0.054,7.2,0.056,21
2004,Mewelde Moore,Tulane,RB,70.6,209,9.88,30.13,,4.62,,35,118,4.12,7.05,11.52,1098,4.8,0.023,10.9,0.079,19
2004,Michael Turner,Northern Illinois,RB,70.5,237,9.63,29.38,,4.49,22,31,114,4.15,7.5,,983,5.3,0.046,10.5,0.07,13
2004,Jason Wright,Northwestern,RB,70.4,210,9.25,30,,4.66,,30,111,4.12,7.35,11.78,543,5.4,0.065,10.7,0.037,7
2004,Chris Perry,Michigan,RB,72,224,10.25,31.38,,4.55,19,,,,,,858,4.6,0.049,8.9,0.031,7
2004,Shaud Williams,Alabama,RB,67.5,193,9,28.38,,4.71,15,34,114,4.15,7.01,11.4,676,5.5,0.049,7.5,0.01,3
2004,Jarrett Payton,Miami (FL),RB,72.1,220,8.88,30.75,,4.61,,31,115,4.31,7.34,,327,5,0.033,8.1,0.036,1
2004,Joe Echemandu,California,RB,70.8,226,9.38,30.88,,4.58,15,,,,,,260,5,0.055,8.4,0,1
2004,Clarence Farmer,Arizona,RB,71.9,231,8.75,31.5,,4.69,21,34.5,120,4.25,7.44,11.96,547,4.9,0.036,8,0.077,0
2004,Derrick Knight,Boston Col.,RB,68.8,209,8.75,29,,4.73,16,31.5,108,,,,780,5.3,0.035,9.7,0.028,0
2004,Duron Croson,Fort Valley State (GA),RB,72.8,226,10.13,30.88,,4.84,14,30.5,108,,,,0,,,,,0
2004,Fred Russell,Iowa,RB,67,195,8.25,28.88,,4.51,21,34,121,4.3,7.09,11.2,531,5.3,0.033,5.6,0,0
2004,Josh Davis,Nebraska,RB,70.4,200,9.13,30.63,,4.53,13,33.5,112,4.07,7.27,11.16,186,4.8,0.023,5.6,0,0
2004,Ran Carthon,Florida,RB,71.4,224,9.63,29.5,,4.45,22,34.5,112,4.12,,,326,5,0.041,9.1,0.018,0
2004,Renaldo Works,Oklahoma,RB,72,222,9.63,31.13,,4.72,21,30.5,115,4.09,7.25,11.54,361,4.9,0.067,9,0.043,0
2004,Rich Alexis,Washington,RB,72,210,9.25,32.5,,4.65,,32,114,4.43,7.41,12.1,642,4.1,0.048,9.8,0,0
2004,Cedric Cobbs,Arkansas,RB,72.1,223,9.38,31.63,,4.72,,40,123,,,,615,5.1,0.044,5.3,0.038,0
2004,Quincy Wilson,West Virginia,RB,69.4,225,9.38,29.63,,4.6,26,33.5,118,4.36,7.68,11.93,499,5.5,0.042,5.9,0.04,0
2005,Frank Gore,Miami (FL),RB,69.375,217,,,,,,,,,,,371,5.7,0.049,9.8,0,39
