yearID,franchName,WinTotal,LossTotal,ThreeYearWPCT
1968,Chicago Cubs,231,255,0.475
1969,Chicago Cubs,235,251,0.484
1970,Chicago Cubs,240,246,0.494
1971,Chicago Cubs,223,263,0.459
1972,Chicago Cubs,182,245,0.426
1973,Chicago Cubs,175,252,0.41
1974,Chicago Cubs,182,245,0.426
1975,Chicago Cubs,240,245,0.495
1976,Chicago Cubs,244,240,0.504
1977,Chicago Cubs,243,239,0.504
1978,Chicago Cubs,223,259,0.463
1979,Chicago Cubs,223,260,0.462
1980,Chicago Cubs,246,239,0.507
1981,Chicago Cubs,247,239,0.508
1982,Chicago Cubs,247,237,0.51
1983,Chicago Cubs,232,252,0.479
1984,Chicago Cubs,239,245,0.494
1985,Chicago Cubs,211,226,0.483
1986,Chicago Cubs,206,213,0.492
1987,Chicago Cubs,198,221,0.473
1988,Chicago Cubs,217,251,0.464
1989,Chicago Cubs,234,253,0.48
1990,Chicago Cubs,225,262,0.462
1991,Chicago Cubs,222,265,0.456
1992,Chicago Cubs,220,266,0.453
1993,Chicago Cubs,220,266,0.453
1994,Chicago Cubs,243,243,0.5
1995,Chicago Cubs,244,242,0.502
1996,Chicago Cubs,256,230,0.527
1997,Chicago Cubs,234,252,0.481
1998,Chicago Cubs,230,256,0.473
1999,Chicago Cubs,248,237,0.511
2000,Chicago Cubs,265,219,0.548
2001,Chicago Cubs,255,229,0.527
2002,Chicago Cubs,229,256,0.472
2003,Chicago Cubs,207,279,0.426
2004,Chicago Cubs,198,288,0.407
2005,Chicago Cubs,200,286,0.412
2006,Chicago Cubs,236,250,0.486
2007,Chicago Cubs,273,212,0.563
2008,Chicago Cubs,292,193,0.602
2009,Chicago Cubs,290,196,0.597
2010,Chicago Cubs,271,216,0.556
1965,Chicago White Sox,244,232,0.513
1966,Chicago White Sox,232,251,0.48
1967,Chicago White Sox,219,263,0.454
1968,Chicago White Sox,229,255,0.473
1969,Chicago White Sox,225,259,0.465
1970,Chicago White Sox,234,249,0.484
